..\imagens_para_conversao\Direita4: .word 19, 27
.byte 255,255,255,255,255,255,255,255,10,10,10,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,10,255,255,10,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,10,255,10,255,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,10,255,255,10,10,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,10,255,255,255,255,10,255,255,255,255,255,255,255,
255,255,255,255,255,10,182,255,255,255,255,182,10,255,255,255,255,255,255,
255,255,255,255,255,10,110,182,255,255,182,110,10,255,255,255,255,255,255,
255,255,255,255,255,10,109,110,182,182,110,109,10,255,255,255,255,255,255,
255,255,255,255,10,10,101,109,110,110,109,101,10,10,255,255,255,255,255,
255,255,255,10,110,255,10,101,110,110,101,10,255,110,10,255,255,255,255,
255,255,255,10,255,255,255,255,255,255,255,255,255,255,10,255,255,255,255,
255,255,10,109,182,255,255,255,255,255,255,255,255,255,110,10,255,255,255,
255,255,10,109,110,182,255,255,255,255,255,255,255,110,109,10,255,255,255,
255,255,10,101,109,110,182,182,182,182,182,182,110,109,109,10,255,255,255,
255,255,10,10,101,109,110,110,110,110,110,110,109,101,10,10,255,255,255,
255,10,182,182,182,101,101,109,110,110,109,101,101,182,182,110,10,255,255,
10,110,182,255,255,182,182,182,18,18,18,182,182,255,255,182,110,18,18,
10,110,182,255,255,255,255,255,18,18,18,18,18,18,255,255,18,18,18,
10,110,182,255,255,255,255,255,10,10,10,18,18,18,255,255,18,18,10,
10,110,182,255,255,255,255,255,255,255,255,10,10,10,255,255,10,10,255,
10,101,110,182,255,255,255,255,255,255,255,10,255,255,255,110,101,10,255,
255,10,109,110,182,182,255,255,255,255,255,10,182,182,110,110,10,255,255,
255,10,101,109,110,110,182,182,182,182,182,10,182,22,22,22,22,255,255,
255,255,10,101,109,109,66,139,139,66,109,109,22,255,255,255,255,22,255,
255,255,255,10,101,66,76,149,149,174,66,101,13,167,13,13,13,13,255,
255,255,255,255,10,66,76,76,156,156,66,101,13,95,95,95,95,13,255,
255,255,255,255,255,255,66,66,66,66,10,10,10,13,13,13,13,255,255,


