uva2: .word 16, 16
.byte 255,255,255,255,255,255,182,255,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,98,106,255,172,255,255,255,255,174,165,
255,255,255,255,255,246,97,32,97,32,107,255,255,255,246,82,
255,255,255,255,173,24,40,24,40,32,98,255,255,255,165,246,
255,255,255,255,255,107,24,75,18,24,32,246,255,174,246,255,
255,255,255,255,255,246,75,69,67,75,17,83,92,246,255,255,
255,255,255,255,93,4,70,68,2,68,2,3,76,82,24,98,
255,255,174,85,78,68,68,67,2,68,68,67,2,24,41,246,
255,255,85,4,68,67,2,67,2,69,69,3,9,32,33,172,
255,255,93,70,3,68,67,2,3,67,3,69,11,24,33,180,
255,84,3,69,69,68,69,68,68,67,3,69,3,67,156,255,
255,84,69,3,69,68,67,67,69,68,3,3,2,3,83,255,
255,85,69,3,67,2,68,3,67,2,3,2,165,173,246,255,
246,3,3,3,3,3,69,3,2,3,91,173,255,255,255,255,
255,75,68,69,2,2,2,91,75,2,174,255,255,255,255,255,
255,255,165,75,173,165,2,255,255,173,255,255,255,255,255,255,


