gd2: .word 16, 16
.byte 255,255,173,91,173,164,255,255,255,255,255,255,255,255,255,255,
255,255,255,173,173,255,18,173,255,255,255,255,255,255,255,255,
255,255,255,164,173,255,255,255,92,246,255,255,255,255,255,255,
255,255,173,92,182,255,255,191,174,91,182,255,255,255,255,255,
255,255,182,91,101,101,109,109,101,173,101,92,255,255,255,255,
255,255,173,173,182,182,182,182,182,255,255,165,164,255,255,255,
255,246,91,183,255,255,255,255,255,182,174,110,27,164,255,255,
255,246,18,101,101,101,109,109,110,110,110,182,182,101,83,246,
255,91,109,173,174,174,182,182,100,18,83,91,91,109,101,173,
91,109,191,255,255,255,255,255,173,91,91,83,9,173,183,84,
18,119,182,255,255,255,255,255,255,255,255,255,10,175,166,94,
18,110,182,183,255,255,255,255,255,255,255,255,174,86,85,247,
246,19,110,182,255,255,255,255,255,182,255,255,182,85,85,246,
255,174,19,110,182,182,183,182,155,156,164,183,101,85,85,246,
255,255,182,91,101,101,101,83,147,157,65,110,93,93,85,93,
255,255,255,255,173,165,83,73,83,74,83,91,92,101,85,93,


